id_lancamento,cnpj_basico,competencia,macro_setor,cnae_fiscal_principal,regime_atual,receita_bruta_mensal,folha_salarios_mensal,custo_mercadoria_vendida,despesas_operacionais,compras_com_credito,data_hora_geracao
40d7e1ba-db8d-42e0-b65e-a403ca57cd8a,55807215,2026-09,Serviços,9602501,Simples Nacional,9852.82,3018.83,197.53,1091.06,682.95,2026-09-23T23:09:17
f5c045c0-59a8-4b9d-afe9-ab767d587445,83015070,2026-09,Comércio,4712100,Simples Nacional,21073.5,2914.18,11795.14,3905.73,8763.66,2026-09-23T23:09:17
31ab1d00-e999-46bf-b755-168a8329d60f,19171624,2026-09,Comércio,4789099,Simples Nacional,119799.13,11978.59,81864.15,29869.97,88551.41,2026-09-23T23:09:17
a1b8c33a-4f0a-47e4-9ef1-255705b53e8b,44086284,2026-09,Indústria,2539001,Lucro Presumido,88364.9,10835.79,35400.31,13014.3,20231.29,2026-09-23T23:09:17
a3f807f9-1869-49ef-be42-3366581fb152,79647086,2026-09,Serviços,6204000,Simples Nacional,16859.24,5818.88,83.96,2716.91,1460.28,2026-09-23T23:09:17
cae237d3-d034-4085-94a1-9d1dac6bb6dd,76293082,2026-09,Indústria,3101200,Lucro Presumido,56311.95,9953.86,26290.66,12692.48,29726.71,2026-09-23T23:09:17
b2110a02-faa5-4eea-ad64-650042637b8c,64329066,2026-09,Comércio,4781400,Simples Nacional,42322.1,3865.42,27568.06,9444.55,11643.86,2026-09-23T23:09:17
f33807b0-9693-44e0-84d3-cb7670b6ee75,24857942,2026-09,Indústria,1091102,Simples Nacional,178957.65,38946.11,95099.53,34461.31,77224.78,2026-09-23T23:09:17
0c465310-bf16-436c-95d9-dae553397d14,90013799,2026-09,Serviços,7020400,Simples Nacional,144903.75,31427.15,3301.43,18544.82,6624.47,2026-09-23T23:09:17
96cea0cb-2bc9-42cf-b90d-0d5c2adb9a7c,20082201,2026-09,Comércio,4789099,Lucro Presumido,57529.12,7639.34,36928.55,9946.13,20834.73,2026-09-23T23:09:17
797bdfdf-39c8-4d2c-80af-0509d5025928,79434299,2026-09,Comércio,4712100,Lucro Presumido,11015520.0,1185.99,5913.8,1463.45,5188.21,2026-09-23T23:09:17
b808992d-00e6-4aec-b7d1-78434bb366f6,96302240,2026-09,Serviços,6204000,Simples Nacional,51844.77,22018.53,2308.18,8343.76,5564.78,2026-09-23T23:09:17
2bb45bdf-12ec-4703-8eea-e24b14222c10,03584657,2026-09,Indústria,3101200,Simples Nacional,279161.08,34403.28,112823.4,41757.58,108515.95,2026-09-23T23:09:17
23a26e50-2abc-4074-a649-7a7277c6803d,81554469,2026-09,Indústria,1091102,Lucro Presumido,121171.88,22962.82,63770.0,13473.96,23311.07,2026-09-23T23:09:17
c58dac3e-e8df-4915-919f-46823477befa,63613786,2026-09,Indústria,3101200,Simples Nacional,41139.68,6606.94,20112.24,9220.98,18261.0,2026-09-23T23:09:17
da17a1b3-02e0-4a49-a62f-e00ecb101483,26982709,2026-09,Comércio,4781400,Simples Nacional,40138.83,4921.34,20123.7,5874.56,8958.87,2026-09-23T23:09:17
00a1a4ba-cdd4-4eca-a4e9-8dec0cd814ce,52048332,2026-09,Indústria,3101200,Simples Nacional,40822.93,6706.25,20124.68,7708.18,21013.85,2026-09-23T23:09:17
edd48362-b7fd-4b68-92a1-d895a1032dd4,01394892,2026-09,Comércio,4789099,Simples Nacional,24647.28,3534.36,12743.34,4996.26,14027.43,2026-09-23T23:09:17
c4f9e6f8-6e86-47c9-a095-45da70c72962,73126201,2026-09,Serviços,6204000,Simples Nacional,12576.46,3537.08,375.44,3098.15,1890.15,2026-09-23T23:09:17
e3a9f83a-94b1-4417-ac66-2b8566aea5a9,17014848,2026-09,Indústria,2539001,Simples Nacional,350179.86,67706.7,146117.04,69641.03,168250.08,2026-09-23T23:09:17
da17a1b3-02e0-4a49-a62f-e00ecb101483,26982709,2026-09,Comércio,4781400,Simples Nacional,40138.83,4921.34,20123.7,5874.56,8958.87,2026-09-23T23:09:17
7bd1c371-0cba-4edb-a50c-12891416482b,55024900,2026-09,Serviços,6204000,Simples Nacional,88259.28,39480.9,1483.32,11199.7,4675.31,2026-09-23T23:09:17
de925708-573e-4ed9-add1-adc378b5467a,91800582,2026-09,Comércio,4781400,Simples Nacional,26278.47,2645.58,15558.36,4611.64,15890.19,2026-09-23T23:09:17
d397fdf8-7679-4073-a076-a3337065d37b,48315121,2026-09,Serviços,6204000,Simples Nacional,10898.2,3507.16,127.27,1685.52,762.08,2026-09-23T23:09:17
40ac58b5-1a11-4eff-898b-4e5dfa5a5b6e,54630777,2026-09,Indústria,1091102,Simples Nacional,315515.26,57620.72,144633.57,66442.37,123009.47,2026-09-23T23:09:17
c61436a1-afd5-43ee-85ec-7583c075c924,87101021,2026-09,Serviços,7020400,Simples Nacional,34579.62,14497.24,1505.38,4299.46,4216.13,2026-09-23T23:09:17
828aca17-1a8f-4ba9-ba3e-fe3f39448437,72679999,2026-09,Serviços,9602501,Lucro Presumido,118337.34,47948.28,588.86,13421.59,5364.89,2026-09-23T23:09:17
a6881664-00e9-4991-ae57-657e04b8e254,02485318,2026-09,Serviços,9602501,Simples Nacional,18016.42,6133.44,316.29,2835.43,2067.27,2026-09-23T23:09:17
dacafb86-1aee-4cd0-ae82-399fd26cb298,01292313,2026-09,Serviços,7020400,Simples Nacional,19738.0,8115.85,200.62,2439.0,1566.21,2026-09-23T23:09:17
7bc236b7-eccd-46c2-b7bf-8eee745679b7,53298456,2026-09,Serviços,8630503,Simples Nacional,22296.81,4823.31,808.03,3251.65,1668.16,2026-09-23T23:09:17
0cfe1d22-fea7-43a7-8f44-3be410f2ec3d,50200101,2026-09,Serviços,6911701,Simples Nacional,53092.62,18301.11,2022.01,12512.01,8944.44,2026-09-23T23:09:17
b6d51973-506c-49a2-a5d8-31b66c919e5c,82580065,2026-09,Indústria,3101200,Simples Nacional,46357.63,11373.9,25860.28,7393.72,11491.92,23/09/2026 23:09
a97ead4c-8b46-4478-b289-75ed598aa7b9,04712707,2026-09,Indústria,1091102,Simples Nacional,23017.02,5173.81,12555.8,4503.77,7391.55,2026-09-23T23:09:17
d717869e-8112-4aa8-9075-25f81b6c8982,75470489,2026-09,Comércio,4712100,Simples Nacional,-51270.54,7026.73,32738.93,6034.01,28788.97,2026-09-23T23:09:17
9ab91881-efcc-4a62-84e9-e83c601aa2be,17716806,2026-09,Comércio,4781400,Simples Nacional,13280.53,1919.18,8972.38,3152.94,4706.57,2026-09-23T23:09:17
8eac39e3-9c8b-4ec8-aa0e-524f3752bb82,19821382,2026-09,Comércio,4712100,Simples Nacional,47442.35,4744.68,28817.64,7979.0,23056.48,2026-09-23T23:09:17
6afd3d08-4e4a-4086-818d-40bdb547052b,66025626,2026-09,Serviços,9602501,Simples Nacional,19271.08,6979.6,86.33,3394.05,1138.12,2026-09-23T23:09:17
8b32389a-904a-43f2-921a-85e512d29420,61264830,2026-09,Serviços,7020400,Simples Nacional,82928.82,16863.67,3171.89,10079.39,6018.21,2026-09-23T23:09:17
5f422b80-c626-4cfd-b3ea-97ba082ed8d2,08912099,2026-09,Indústria,1091102,Simples Nacional,91302.59,18254.58,46753.39,13188.1,18563.99,2026-09-23T23:09:17
3b464799-4673-48f1-b33a-ea69e47a72d8,87027089,2026-09,Comércio,4781400,Simples Nacional,31092.39,4453.31,20627.7,3849.93,19080.79,23/09/2026 23:09
f3ed495e-bcc6-430c-83a1-4179a5537606,38430913,2026-09,Indústria,3101200,Simples Nacional,70328.58,16575.6,40791.23,7649.67,37165.88,2026-09-23T23:09:17
e73e6573-04cb-4eae-9131-a60d675893c2,02830334,2026-09,Serviços,6204000,Simples Nacional,12766.14,3647.64,517.23,3137.4,1525.77,2026-09-23T23:09:17
46afe6ea-d6a5-45de-a3b1-dfbf5a26d915,36264557,2026-09,Comércio,4781400,Simples Nacional,27798.82,2557.19,19336.55,4058.86,14116.71,2026-09-23T23:09:17
47767c1b-5109-41b9-bf15-50dc44446824,66850045,2026-09,Comércio,4712100,Lucro Presumido,68021.38,7185.36,43969.92,8125.77,33992.24,2026-09-23T23:09:17
a4cee7d0-15e9-4fc4-b09a-c28e94fcd756,47072681,2026-09,Serviços,7020400,Simples Nacional,41154.89,11953.99,846.54,7313.86,2726.52,2026-09-23T23:09:17
76f2864b-5b86-499b-9f73-f53c3a330caa,04.110.932,2026-09,Comércio,4712100,Simples Nacional,48077.68,4633.9,26415.76,6573.61,12406.42,2026-09-23T23:09:17
b7b55109-2671-41f6-9bea-b219fd5e8ecf,04282813,2026-09,Comércio,4781400,Simples Nacional,49028.53,7136.9,30599.75,10581.16,20742.27,2026-09-23T23:09:17
4464c170-aada-4143-bc0d-dc69ec594937,70608069,2026-09,Indústria,3101200,Lucro Presumido,568891.91,120827.01,298221.37,122531.68,131179.97,2026-09-23T23:09:17
630c6af5-e0dc-404c-8c6c-1568fc69db77,97608500,2026-09,Indústria,2539001,Simples Nacional,69697.86,8466.44,41065.6,15285.74,37375.68,2026-09-23T23:09:17
ec1e59e2-e9b4-4048-8cab-b39d58dd6e9a,70484756,2026-09,Indústria,3101200,Simples Nacional,63383.23,7787.58,36577.8,7798.99,26045.97,2026-09-23T23:09:17
3c6a5907-ab51-4191-a9ef-36a92dfdc5c1,27537541,2026-09,Indústria,2539001,Simples Nacional,76161.6,13584.23,40035.63,18509.84,40650.17,2026-09-23T23:09:17
